Wed May 06 02:15:06 +0000 2020,:) https://t.co/7dWrXFcLAT,:) 
Tue May 05 17:00:20 +0000 2020,"three days #stuckwithu 🖤 
https://t.co/2tEIquZBzj https://t.co/TMZu6aZlKi","three days #stuckwithu  
 "
Mon May 04 17:37:21 +0000 2020,four days ::) #stuckwithu https://t.co/WIRmfF97zN,four days ::) #stuckwithu 
Sun May 03 20:01:09 +0000 2020,🖤 https://t.co/cqs5rs4CFZ, 
Sun May 03 01:52:46 +0000 2020,love u,love u
Sun May 03 01:50:44 +0000 2020,very obsessed with everyone’s #StuckwithU videos. seriously the sweetest. thank u so much for sharing these moments with us and bringing so much more life and love to this. it feels so special. so excited for u all to see the final product and of course hear the song !,very obsessed with everyone’s #StuckwithU videos. seriously the sweetest. thank u so much for sharing these moments with us and bringing so much more life and love to this. it feels so special. so excited for u all to see the final product and of course hear the song !
Sun May 03 01:41:37 +0000 2020,@makeupwithu @justinbieber @scooterbraun @SB_Projects 🖤🥺,@makeupwithu @justinbieber @scooterbraun @SB_Projects 🥺
Sun May 03 01:40:59 +0000 2020,@Nickelodeon thank u guys 🖤 love u always,@Nickelodeon thank u guys  love u always
Fri May 01 20:20:11 +0000 2020,"please use this instrumental &amp; send us videos of u being your beautiful selves, dancing with your loved ones, pets, whatever / whoever brings u comfort during this quarantine (even if it’s just u alone. that’s beautiful too.) to be a part of #StuckWithU 🖤💻🎙🌫 https://t.co/CK1ceupI9X","please use this instrumental &amp; send us videos of u being your beautiful selves, dancing with your loved ones, pets, whatever / whoever brings u comfort during this quarantine (even if it’s just u alone. that’s beautiful too.) to be a part of #StuckWithU  "
Fri May 01 17:08:23 +0000 2020,@1strcf 🖤 https://t.co/kvSKqdlxVB,@1strcf  
Fri May 01 17:00:56 +0000 2020,stuck with u by me and @justinbieber out may 8th. head to my instagram for more info. thank u to @1strcf and @sb_projects for making this possible 🖤 presave here: https://t.co/Gdv1ATHbMV https://t.co/DkX5gzijOj,stuck with u by me and @justinbieber out may 8th. head to my instagram for more info. thank u to @1strcf and @sb_projects for making this possible  presave here:  
Fri May 01 16:20:41 +0000 2020,"with covid-19, texts into crisis text line are up 40%. the mental health fund supports orgs meeting the increased demand by offering crisis intervention via text in the usa, canada, uk, and ireland

@crisistextline 
@giveusashout
@kidshelpphone 
@spunout 

https://t.co/Rc0290BvzQ","with covid-19, texts into crisis text line are up 40%. the mental health fund supports orgs meeting the increased demand by offering crisis intervention via text in the usa, canada, uk, and ireland

@crisistextline 
@giveusashout
@kidshelpphone 
@spunout 

"
Fri May 01 16:20:10 +0000 2020,"covid tech connect is finding smart devices and getting them in the hands of hospital workers to connect covid-19 patients with their families who are unable to visit 

@givingbackfund 

https://t.co/T6RE3wt0D7","covid tech connect is finding smart devices and getting them in the hands of hospital workers to connect covid-19 patients with their families who are unable to visit 

@givingbackfund 

"
Fri May 01 16:19:10 +0000 2020,"fund for families benefits organizations on the us/mexico border supporting minors and families in shelters with food, medical supplies, toilet paper, soap, and protective gear to help stop the spread of covid-19

https://t.co/uzKO1VXv68","fund for families benefits organizations on the us/mexico border supporting minors and families in shelters with food, medical supplies, toilet paper, soap, and protective gear to help stop the spread of covid-19

"
Fri May 01 16:18:33 +0000 2020,"organizations like @bailproject @reform @cut_50 are leading an effort to protect incarcerated people and correctional facility staff from covid-19 by sending protective gear to jails and prisons across the country, especially those hit hardest by the virus https://t.co/PqKnWCEZqN","organizations like @bailproject @reform @cut_50 are leading an effort to protect incarcerated people and correctional facility staff from covid-19 by sending protective gear to jails and prisons across the country, especially those hit hardest by the virus "
Fri May 01 16:17:21 +0000 2020,"hi everyone ! i’m back with my weekly updates of organizations i’ve been supporting for covid-19 relief

please check out the following to support yourself and learn more","hi everyone ! i’m back with my weekly updates of organizations i’ve been supporting for covid-19 relief

please check out the following to support yourself and learn more"
Thu Apr 30 20:28:43 +0000 2020,see u there everybody 🖤 https://t.co/D5KPxIwZ3L,see u there everybody  
Wed Apr 29 15:47:05 +0000 2020,@arianaaailysm yeah....... can't win em all man,@arianaaailysm yeah....... can't win em all man
Wed Apr 29 15:35:37 +0000 2020,@weviibin @bocacmb yeah i dont know what that is i'm old but i steal pics from u guys all the time so I'm sorry and thank u lmaoooo,@weviibin @bocacmb yeah i dont know what that is i'm old but i steal pics from u guys all the time so I'm sorry and thank u lmaoooo
Tue Apr 28 22:40:35 +0000 2020,@IAmSusanEgan @DisneyMusic @Disney oh my god i...... love u so much. this is the best thing. and you sound and are just as stunning as ever. 🖤,@IAmSusanEgan @DisneyMusic @Disney oh my god i...... love u so much. this is the best thing. and you sound and are just as stunning as ever. 
Tue Apr 28 22:35:11 +0000 2020,"love u, pringus. https://t.co/vnMrjCEipD","love u, pringus. "
Tue Apr 28 22:06:16 +0000 2020,🤍 https://t.co/0Ykqa8J75V,🤍 
Tue Apr 28 06:08:23 +0000 2020,@jansportnyc my sweet,@jansportnyc my sweet
Tue Apr 28 06:05:40 +0000 2020,@piggybarkbutera @MrJasonRBrown 🥺🤍,@piggybarkbutera @MrJasonRBrown 🥺🤍
Tue Apr 28 06:01:39 +0000 2020,that’s bullshit but i love u. the most. just as long as i’m your fav student. bye. https://t.co/3ilw4Rn936,that’s bullshit but i love u. the most. just as long as i’m your fav student. bye. 
Tue Apr 28 06:00:21 +0000 2020,https://t.co/DOuLrwSY7W,
Tue Apr 28 05:59:44 +0000 2020,https://t.co/CNOMsO0S0I,
Tue Apr 28 05:56:51 +0000 2020,🖤 @MrJasonRBrown https://t.co/4QvHyw9BUI, @MrJasonRBrown 
Tue Apr 28 01:20:58 +0000 2020,u both sounded fucking phenomenal @ShoshanaBean @MrJasonRBrown. i’m still recovering from everything i just watched. thank u for existing and for being human masterclasses in musicality and technique.,u both sounded fucking phenomenal @ShoshanaBean @MrJasonRBrown. i’m still recovering from everything i just watched. thank u for existing and for being human masterclasses in musicality and technique.
Tue Apr 28 01:14:21 +0000 2020,@comenasa i worship sherie,@comenasa i worship sherie
Tue Apr 28 01:11:47 +0000 2020,that was so beautiful @MrJasonRBrown i loved every minute so much ! thank u and @SubCulture_NYC  for having me and for doing this. everyone played and sang so beautifully. love u.,that was so beautiful @MrJasonRBrown i loved every minute so much ! thank u and @SubCulture_NYC  for having me and for doing this. everyone played and sang so beautifully. love u.
Tue Apr 28 00:40:13 +0000 2020,@MrJasonRBrown @georgiastitt the opening i’m crying 🤍,@MrJasonRBrown @georgiastitt the opening i’m crying 🤍
Tue Apr 28 00:10:19 +0000 2020,@lightisc 😌🖤,@lightisc 
Tue Apr 28 00:09:17 +0000 2020,@aridevotion ooooo another of my fav jrb songs,@aridevotion ooooo another of my fav jrb songs
Tue Apr 28 00:07:20 +0000 2020,@anothersmiles yeah they did! it has been announced that they were having some technical difficulties and it is moving to 8:30!,@anothersmiles yeah they did! it has been announced that they were having some technical difficulties and it is moving to 8:30!
Tue Apr 28 00:06:00 +0000 2020,@TwirlyButera @MrJasonRBrown OH MY @mrjasonrbrown ... while we are waiting for the concert to begin may i just .... bring some attention to this please. i remember that day / that workshop so clearly and still remember literally word u said to me lmaooo. love u.,@TwirlyButera @MrJasonRBrown OH MY @mrjasonrbrown ... while we are waiting for the concert to begin may i just .... bring some attention to this please. i remember that day / that workshop so clearly and still remember literally word u said to me lmaooo. love u.
Mon Apr 27 19:01:56 +0000 2020,excited to be a part of this phenomenal virtual concert and to be performing one of my favorite @MrJasonRBrown songs with him tonight at 8 pm est 🖤 see u there https://t.co/uwc2EOIlxt,excited to be a part of this phenomenal virtual concert and to be performing one of my favorite @MrJasonRBrown songs with him tonight at 8 pm est  see u there 
Sun Apr 26 18:33:14 +0000 2020,please leave this in https://t.co/75LzB8twkN,please leave this in 
Sun Apr 26 01:13:08 +0000 2020,@nasaggrande me too please !,@nasaggrande me too please !
Sun Apr 26 01:12:30 +0000 2020,@EsteEsDave so in love w this / my day was entirely made omg. thank u for sharing! you’re so talented.,@EsteEsDave so in love w this / my day was entirely made omg. thank u for sharing! you’re so talented.
Sun Apr 26 01:10:55 +0000 2020,@EVERYTlMEARl thank u !,@EVERYTlMEARl thank u !
Sun Apr 26 01:07:59 +0000 2020,@arihasntltc shit me too. i was like when did we shoot that ?,@arihasntltc shit me too. i was like when did we shoot that ?
Sun Apr 26 01:07:00 +0000 2020,@backtoneedy u cute,@backtoneedy u cute
Sun Apr 26 01:06:23 +0000 2020,love u,love u
Sun Apr 26 01:05:28 +0000 2020,@LGMonsterFacts @ladygaga why am i crying. also these edits? people are so talented the fuck.,@LGMonsterFacts @ladygaga why am i crying. also these edits? people are so talented the fuck.
Sun Apr 26 01:04:17 +0000 2020,@minajcum sooooo cute nooo. do we know what the artist @ is ?,@minajcum sooooo cute nooo. do we know what the artist @ is ?
Sat Apr 25 20:46:48 +0000 2020,"also ! as i announced earlier this week my #allinchallenge is open til may 12. 100% of proceeds go to four amazing food organizations 

@feedingamerica
@mealsonwheels
@wckitchen
@nokidhungry

https://t.co/cu8z2uL6aG","also ! as i announced earlier this week my #allinchallenge is open til may 12. 100% of proceeds go to four amazing food organizations 

@feedingamerica
@mealsonwheels
@wckitchen
@nokidhungry

"
Sat Apr 25 20:46:48 +0000 2020,"one fair wage emergency fund is providing cash assistance to service workers and hourly gig workers who were laid off due to COVID-19 and have no safety net

@onefairwage

https://t.co/DW8CRtWXHW","one fair wage emergency fund is providing cash assistance to service workers and hourly gig workers who were laid off due to COVID-19 and have no safety net

@onefairwage

"
Sat Apr 25 20:46:47 +0000 2020,"the national domestic workers alliance coronavirus care fund provides emergency assistance for qualifying home care workers, nannies and house cleaners who are experiencing financial hardship due to COVID-19

@domesticworkers

https://t.co/Xocj9qOoaB","the national domestic workers alliance coronavirus care fund provides emergency assistance for qualifying home care workers, nannies and house cleaners who are experiencing financial hardship due to COVID-19

@domesticworkers

"
Sat Apr 25 20:46:47 +0000 2020,"the neighborhood helps neighbors in need by covering rent for families who have lost income as a result of COVID-19, who are not eligible for gov assistance, and who will be evicted if we don't help quickly

@newstorycharity

https://t.co/nGbf6swoFO","the neighborhood helps neighbors in need by covering rent for families who have lost income as a result of COVID-19, who are not eligible for gov assistance, and who will be evicted if we don't help quickly

@newstorycharity

"
Sat Apr 25 20:46:46 +0000 2020,"hello everyone ! back with a few more organizations and a little bit about how they’re helping during this difficult time. grateful to be able to support their work.

hope you’re all staying as safe and healthy as possible. have a great weekend !","hello everyone ! back with a few more organizations and a little bit about how they’re helping during this difficult time. grateful to be able to support their work.

hope you’re all staying as safe and healthy as possible. have a great weekend !"
Sat Apr 25 16:53:24 +0000 2020,@liamrileycb oh !! love u so much. u smashed this!,@liamrileycb oh !! love u so much. u smashed this!
Sat Apr 25 06:10:13 +0000 2020,"@lovelyheavenlyy @grandekordei ............ please please elaborate ?????

“what show” - aaron","@lovelyheavenlyy @grandekordei ............ please please elaborate ?????

“what show” - aaron"
Sat Apr 25 06:08:56 +0000 2020,@buteraqrande LIKE ???????? CAN WE GO BACK,@buteraqrande LIKE ???????? CAN WE GO BACK
Sat Apr 25 06:08:28 +0000 2020,@grandekordei all we do is cry. why.,@grandekordei all we do is cry. why.
Fri Apr 24 05:03:45 +0000 2020,it’s so good &amp; i love u https://t.co/fspzE2xmtq #bite https://t.co/4JzmaJuVrQ,it’s so good &amp; i love u  #bite 
Fri Apr 24 05:01:19 +0000 2020,so so beautiful https://t.co/MqQdjcZvrS,so so beautiful 
Thu Apr 23 18:07:37 +0000 2020,"what queen @madonna says goes 🤍🎙 thank u for nominating me &amp; i am so excited to be participating in the #allinchallenge. 100% of proceeds go to four amazing organizations that i personally love and have been supporting: https://t.co/cu8z2v2H2e
 
i nominate queen @mariahcarey!","what queen @madonna says goes 🤍 thank u for nominating me &amp; i am so excited to be participating in the #allinchallenge. 100% of proceeds go to four amazing organizations that i personally love and have been supporting: 
 
i nominate queen @mariahcarey!"
Thu Apr 23 09:33:25 +0000 2020,@AlfredoFlores ft me 🖤,@AlfredoFlores ft me 
Thu Apr 23 00:54:21 +0000 2020,@lmlyasli it’s entirely life changing.,@lmlyasli it’s entirely life changing.
Thu Apr 23 00:54:02 +0000 2020,@godisawomann WOW THANK U SO MUCH,@godisawomann WOW THANK U SO MUCH
Thu Apr 23 00:53:42 +0000 2020,@alldatgrande i love u !,@alldatgrande i love u !
Thu Apr 23 00:53:24 +0000 2020,@AlfredoFlores @NJOMZA don’t get me started pls sir,@AlfredoFlores @NJOMZA don’t get me started pls sir
Thu Apr 23 00:48:08 +0000 2020,@adorethetimes @dangerousbwoman he’s so funny,@adorethetimes @dangerousbwoman he’s so funny
Thu Apr 23 00:46:34 +0000 2020,@dangerousbwoman love u more,@dangerousbwoman love u more
Thu Apr 23 00:46:14 +0000 2020,@dangerousbwoman in the most loving way possible !!!!!!!!! tell me that isn’t stan culture,@dangerousbwoman in the most loving way possible !!!!!!!!! tell me that isn’t stan culture
Wed Apr 22 22:12:14 +0000 2020,🤍 https://t.co/S6ZgNjUvgv,🤍 
